                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.6329,                 1.5895,                 1.5039,                0.65098,                0.71471,                0.76163,                0.46966,                  1.668,                 1.3616,                 1.6462,             0.00062103,             0.00062103,             0.00062103
                     35,                 1.6038,                 1.5323,                 1.4681,                0.72933,                0.70005,                0.77896,                 0.4248,                 1.6607,                 1.3052,                 1.6547,             0.00061203,             0.00061203,             0.00061203
                     36,                    1.6,                 1.5027,                 1.4776,                0.68684,                0.71331,                0.78001,                0.41382,                 1.6127,                 1.2888,                 1.5821,             0.00060303,             0.00060303,             0.00060303
                     37,                 1.6254,                 1.5402,                 1.4834,                0.66465,                0.73101,                0.78584,                0.43331,                  1.605,                   1.27,                 1.5698,             0.00059403,             0.00059403,             0.00059403
                     38,                 1.6058,                 1.5169,                 1.4655,                0.75032,                0.71079,                0.80186,                0.46841,                 1.6178,                 1.2407,                 1.6045,             0.00058503,             0.00058503,             0.00058503
                     39,                 1.5803,                 1.4982,                 1.4563,                 0.8296,                0.66346,                0.80278,                 0.4498,                 1.5559,                 1.1971,                 1.5551,             0.00057603,             0.00057603,             0.00057603
                     40,                 1.5761,                 1.4504,                 1.4368,                0.74388,                0.73103,                0.81283,                0.46538,                 1.5713,                 1.1784,                 1.5446,             0.00056703,             0.00056703,             0.00056703
                     41,                 1.5619,                 1.4075,                 1.4354,                0.85121,                0.68023,                0.82684,                  0.502,                 1.5494,                 1.1758,                 1.5396,             0.00055804,             0.00055804,             0.00055804
                     42,                 1.5132,                 1.3541,                 1.4045,                0.73332,                0.72394,                0.81472,                0.48089,                 1.5461,                 1.1734,                 1.5356,             0.00054904,             0.00054904,             0.00054904
                     43,                 1.5331,                 1.3768,                 1.4191,                0.61043,                0.80347,                0.72483,                0.40546,                 1.5609,                 1.1568,                 1.5362,             0.00054004,             0.00054004,             0.00054004
                     44,                 1.5145,                 1.3341,                 1.4001,                0.80163,                0.73427,                0.83994,                0.50764,                 1.5376,                 1.0755,                 1.5323,             0.00053104,             0.00053104,             0.00053104
                     45,                 1.4824,                 1.3066,                   1.39,                0.73189,                0.76748,                0.84864,                0.48802,                 1.4718,                 1.0735,                 1.4747,             0.00052204,             0.00052204,             0.00052204
                     46,                 1.4857,                 1.3039,                 1.3828,                0.72672,                0.76043,                0.84346,                0.49724,                 1.5255,                 1.1018,                 1.5095,             0.00051304,             0.00051304,             0.00051304
                     47,                 1.4594,                 1.2953,                 1.3718,                0.73933,                0.77575,                0.85098,                0.49281,                 1.4512,                  1.042,                 1.4706,             0.00050404,             0.00050404,             0.00050404
